Age,Age_Bands,Area,Gender,Population
3,0 - 4,West Dunbartonshire,Male,519
3,0 - 4,West Lothian,Male,1056
3,0 - 4,Aberdeen City,Female,1178
3,0 - 4,Aberdeenshire,Female,1450
3,0 - 4,Angus,Female,615
3,0 - 4,Argyll and Bute,Female,362
3,0 - 4,City of Edinburgh,Female,2569
3,0 - 4,Clackmannanshire,Female,283
3,0 - 4,Dumfries and Galloway,Female,688
3,0 - 4,Dundee City,Female,798
3,0 - 4,East Ayrshire,Female,655
3,0 - 4,East Dunbartonshire,Female,581
3,0 - 4,East Lothian,Female,552
3,0 - 4,East Renfrewshire,Female,585
3,0 - 4,Falkirk,Female,828
3,0 - 4,Fife,Female,1963
3,0 - 4,Glasgow City,Female,3392
3,0 - 4,Highland,Female,1184
3,0 - 4,Inverclyde,Female,400
3,0 - 4,Midlothian,Female,576
3,0 - 4,Moray,Female,476
3,0 - 4,Na h-Eileanan Siar,Female,132
3,0 - 4,North Ayrshire,Female,649
3,0 - 4,North Lanarkshire,Female,1864
3,0 - 4,Orkney Islands,Female,85
3,0 - 4,Perth and Kinross,Female,731
3,0 - 4,Renfrewshire,Female,934
3,0 - 4,Scottish Borders,Female,605
3,0 - 4,Shetland Islands,Female,145
3,0 - 4,South Ayrshire,Female,476
3,0 - 4,South Lanarkshire,Female,1686
3,0 - 4,Stirling,Female,427
3,0 - 4,West Dunbartonshire,Female,517
3,0 - 4,West Lothian,Female,1118
4,0 - 4,Aberdeen City,Male,1224
4,0 - 4,Aberdeenshire,Male,1586
4,0 - 4,Angus,Male,597
4,0 - 4,Argyll and Bute,Male,399
4,0 - 4,City of Edinburgh,Male,2670
4,0 - 4,Clackmannanshire,Male,323
4,0 - 4,Dumfries and Galloway,Male,719
4,0 - 4,Dundee City,Male,870
4,0 - 4,East Ayrshire,Male,763
4,0 - 4,East Dunbartonshire,Male,574
4,0 - 4,East Lothian,Male,639
4,0 - 4,East Renfrewshire,Male,622
4,0 - 4,Falkirk,Male,978
4,0 - 4,Fife,Male,2126
4,0 - 4,Glasgow City,Male,3566
4,0 - 4,Highland,Male,1283
4,0 - 4,Inverclyde,Male,426
4,0 - 4,Midlothian,Male,605
4,0 - 4,Moray,Male,475
4,0 - 4,Na h-Eileanan Siar,Male,152
4,0 - 4,North Ayrshire,Male,754
4,0 - 4,North Lanarkshire,Male,2068
