Year,Age,Gender,Pop_Count_Projection,SIM,Pop_Count_Reference,index_col
2017,64,Male,39.0,0,38,Male64
2017,65,Male,38.0,0,39,Male65
2017,66,Male,39.0,0,31,Male66
2017,67,Male,30.0,0,29,Male67
2017,68,Male,29.0,0,43,Male68
2017,69,Male,43.0,0,48,Male69
2017,70,Male,48.0,0,42,Male70
2017,71,Male,41.0,0,20,Male71
2017,72,Male,20.0,0,29,Male72
2017,73,Male,27.0,0,21,Male73
2017,74,Male,20.0,0,17,Male74
2017,75,Male,16.0,0,19,Male75
2017,76,Male,18.0,0,23,Male76
2017,77,Male,22.0,0,20,Male77
2017,78,Male,18.0,0,15,Male78
2017,79,Male,14.0,0,19,Male79
2017,80,Male,17.0,0,14,Male80
2017,81,Male,11.0,0,16,Male81
2017,82,Male,14.0,0,8,Male82
2017,83,Male,7.0,0,11,Male83
2017,84,Male,9.0,0,7,Male84
2017,85,Male,7.0,0,8,Male85
2017,86,Male,8.0,0,6,Male86
2017,87,Male,6.0,0,3,Male87
2017,88,Male,3.0,0,13,Male88
2017,89,Male,10.0,0,4,Male89
2017,90+,Male,16.0,0,17,Male90+
2018,0,Female,0.0,0,21,Female0
2018,1,Female,0.0,0,25,Female1
2018,2,Female,21.0,0,14,Female2
2018,3,Female,25.0,0,29,Female3
2018,4,Female,14.0,0,19,Female4
2018,5,Female,29.0,0,18,Female5
2018,6,Female,19.0,0,25,Female6
2018,7,Female,18.0,0,29,Female7
2018,8,Female,25.0,0,16,Female8
2018,9,Female,29.0,0,29,Female9
2018,10,Female,16.0,0,30,Female10
2018,11,Female,29.0,0,20,Female11
2018,12,Female,30.0,0,25,Female12
2018,13,Female,20.0,0,27,Female13
2018,14,Female,25.0,0,17,Female14
2018,15,Female,27.0,0,35,Female15
2018,16,Female,17.0,0,12,Female16
2018,17,Female,35.0,0,20,Female17
2018,18,Female,12.0,0,20,Female18
2018,19,Female,20.0,0,16,Female19
2018,20,Female,20.0,0,20,Female20
2018,21,Female,16.0,0,14,Female21
2018,22,Female,20.0,0,16,Female22
2018,23,Female,14.0,0,20,Female23
2018,24,Female,16.0,0,17,Female24
2018,25,Female,20.0,0,18,Female25
2018,26,Female,17.0,0,14,Female26
2018,27,Female,18.0,0,31,Female27
2018,28,Female,14.0,0,26,Female28
2018,29,Female,31.0,0,15,Female29
2018,30,Female,26.0,0,20,Female30
2018,31,Female,15.0,0,16,Female31
2018,32,Female,20.0,0,19,Female32
2018,33,Female,16.0,0,22,Female33
2018,34,Female,19.0,0,22,Female34
2018,35,Female,22.0,0,31,Female35
2018,36,Female,22.0,0,27,Female36
2018,37,Female,31.0,0,33,Female37
2018,38,Female,27.0,0,21,Female38
2018,39,Female,33.0,0,29,Female39
2018,40,Female,21.0,0,32,Female40
2018,41,Female,28.0,0,25,Female41
2018,42,Female,32.0,0,28,Female42
2018,43,Female,25.0,0,37,Female43
2018,44,Female,28.0,0,20,Female44
2018,45,Female,37.0,0,27,Female45
