Age,Gender,Pop_Count_Projection,SIM,Year,Pop_Count_Reference,index_col
10,Male,30,0,2017,34,Male10
11,Male,34,0,2017,27,Male11
12,Male,27,0,2017,30,Male12
13,Male,30,0,2017,24,Male13
14,Male,24,0,2017,19,Male14
15,Male,19,0,2017,23,Male15
16,Male,23,0,2017,18,Male16
17,Male,18,0,2017,33,Male17
18,Male,33,0,2017,27,Male18
19,Male,26,0,2017,17,Male19
20,Male,17,0,2017,24,Male20
21,Male,24,0,2017,29,Male21
22,Male,29,0,2017,22,Male22
23,Male,22,0,2017,12,Male23
24,Male,12,0,2017,20,Male24
25,Male,20,0,2017,12,Male25
26,Male,12,0,2017,23,Male26
27,Male,23,0,2017,25,Male27
28,Male,25,0,2017,28,Male28
29,Male,27,0,2017,24,Male29
30,Male,24,0,2017,18,Male30
31,Male,18,0,2017,14,Male31
32,Male,14,0,2017,21,Male32
33,Male,21,0,2017,19,Male33
34,Male,19,0,2017,14,Male34
35,Male,14,0,2017,18,Male35
36,Male,18,0,2017,18,Male36
37,Male,18,0,2017,23,Male37
38,Male,23,0,2017,16,Male38
39,Male,16,0,2017,24,Male39
40,Male,24,0,2017,23,Male40
41,Male,23,0,2017,25,Male41
42,Male,25,0,2017,22,Male42
43,Male,22,0,2017,32,Male43
44,Male,32,0,2017,31,Male44
45,Male,31,0,2017,36,Male45
46,Male,35,0,2017,32,Male46
47,Male,32,0,2017,31,Male47
48,Male,31,0,2017,45,Male48
49,Male,44,0,2017,32,Male49
50,Male,30,0,2017,32,Male50
51,Male,31,0,2017,41,Male51
52,Male,41,0,2017,27,Male52
53,Male,27,0,2017,42,Male53
54,Male,42,0,2017,35,Male54
55,Male,33,0,2017,38,Male55
56,Male,38,0,2017,51,Male56
57,Male,51,0,2017,40,Male57
58,Male,39,0,2017,49,Male58
59,Male,48,0,2017,49,Male59
60,Male,47,0,2017,29,Male60
61,Male,29,0,2017,39,Male61
62,Male,36,0,2017,30,Male62
63,Male,30,0,2017,40,Male63
64,Male,40,0,2017,38,Male64
65,Male,38,0,2017,39,Male65
66,Male,39,0,2017,31,Male66
67,Male,31,0,2017,29,Male67
68,Male,29,0,2017,43,Male68
69,Male,42,0,2017,48,Male69
70,Male,46,0,2017,42,Male70
71,Male,38,0,2017,20,Male71
72,Male,18,0,2017,29,Male72
73,Male,27,0,2017,21,Male73
74,Male,21,0,2017,17,Male74
75,Male,17,0,2017,19,Male75
76,Male,16,0,2017,23,Male76
77,Male,19,0,2017,20,Male77
78,Male,18,0,2017,15,Male78
79,Male,14,0,2017,19,Male79
80,Male,16,0,2017,14,Male80
81,Male,12,0,2017,16,Male81
82,Male,14,0,2017,8,Male82
83,Male,8,0,2017,11,Male83
84,Male,10,0,2017,7,Male84
85,Male,7,0,2017,8,Male85
86,Male,7,0,2017,6,Male86
87,Male,4,0,2017,3,Male87
88,Male,3,0,2017,13,Male88
89,Male,11,0,2017,4,Male89
90+,Male,7,0,2017,17,Male90+
0,Female,0,0,2018,21,Female0
1,Female,0,0,2018,25,Female1
2,Female,21,0,2018,14,Female2
3,Female,25,0,2018,29,Female3
4,Female,14,0,2018,19,Female4
5,Female,29,0,2018,18,Female5
6,Female,19,0,2018,25,Female6
7,Female,18,0,2018,29,Female7
8,Female,25,0,2018,16,Female8
9,Female,29,0,2018,29,Female9
10,Female,16,0,2018,30,Female10
11,Female,29,0,2018,20,Female11
12,Female,30,0,2018,25,Female12
13,Female,20,0,2018,27,Female13
14,Female,25,0,2018,17,Female14
15,Female,27,0,2018,35,Female15
16,Female,17,0,2018,12,Female16
17,Female,35,0,2018,20,Female17
18,Female,12,0,2018,20,Female18
19,Female,20,0,2018,16,Female19
20,Female,20,0,2018,20,Female20
21,Female,16,0,2018,14,Female21
22,Female,20,0,2018,16,Female22
23,Female,14,0,2018,20,Female23
24,Female,16,0,2018,17,Female24
25,Female,20,0,2018,18,Female25
26,Female,17,0,2018,14,Female26
27,Female,18,0,2018,31,Female27
28,Female,14,0,2018,26,Female28
29,Female,31,0,2018,15,Female29
30,Female,26,0,2018,20,Female30
31,Female,15,0,2018,16,Female31
32,Female,20,0,2018,19,Female32
33,Female,16,0,2018,22,Female33
34,Female,19,0,2018,22,Female34
35,Female,22,0,2018,31,Female35
36,Female,22,0,2018,27,Female36
37,Female,31,0,2018,33,Female37
38,Female,27,0,2018,21,Female38
39,Female,33,0,2018,29,Female39
40,Female,21,0,2018,32,Female40
41,Female,29,0,2018,25,Female41
42,Female,32,0,2018,28,Female42
43,Female,24,0,2018,37,Female43
44,Female,28,0,2018,20,Female44
45,Female,37,0,2018,27,Female45
46,Female,20,0,2018,32,Female46
47,Female,27,0,2018,32,Female47
48,Female,32,0,2018,56,Female48
49,Female,31,0,2018,37,Female49
50,Female,55,0,2018,54,Female50
51,Female,37,0,2018,36,Female51
52,Female,54,0,2018,29,Female52
53,Female,36,0,2018,39,Female53
54,Female,29,0,2018,35,Female54
55,Female,38,0,2018,28,Female55
56,Female,33,0,2018,42,Female56
57,Female,27,0,2018,49,Female57
58,Female,42,0,2018,31,Female58
59,Female,49,0,2018,38,Female59
60,Female,31,0,2018,31,Female60
61,Female,38,0,2018,36,Female61
62,Female,29,0,2018,29,Female62
63,Female,36,0,2018,44,Female63
64,Female,29,0,2018,43,Female64
65,Female,42,0,2018,40,Female65
66,Female,42,0,2018,42,Female66
67,Female,40,0,2018,36,Female67
68,Female,41,0,2018,30,Female68
69,Female,32,0,2018,38,Female69
70,Female,26,0,2018,35,Female70
71,Female,36,0,2018,23,Female71
72,Female,34,0,2018,32,Female72
73,Female,21,0,2018,30,Female73
74,Female,27,0,2018,13,Female74
75,Female,29,0,2018,29,Female75
76,Female,11,0,2018,22,Female76
77,Female,23,0,2018,23,Female77
78,Female,17,0,2018,27,Female78
79,Female,20,0,2018,20,Female79
80,Female,20,0,2018,14,Female80
81,Female,17,0,2018,14,Female81
82,Female,12,0,2018,14,Female82
83,Female,12,0,2018,23,Female83
84,Female,12,0,2018,15,Female84
85,Female,16,0,2018,13,Female85
86,Female,8,0,2018,11,Female86
87,Female,11,0,2018,9,Female87
88,Female,6,0,2018,14,Female88
89,Female,4,0,2018,3,Female89
90+,Female,15,0,2018,39,Female90+
0,Male,0,0,2018,24,Male0
1,Male,0,0,2018,13,Male1
2,Male,24,0,2018,22,Male2
3,Male,13,0,2018,16,Male3
