Age,Gender,Reference,Year,Population
73,Male,21528,2017,22594
74,Male,19373,2017,20804
75,Male,17496,2017,18659
76,Male,17603,2017,16790
77,Male,16869,2017,16824
78,Male,16115,2017,16046
79,Male,14432,2017,15248
80,Male,13546,2017,13575
81,Male,12469,2017,12656
82,Male,11120,2017,11557
83,Male,9975,2017,10211
84,Male,9091,2017,9057
85,Male,7894,2017,8151
86,Male,6573,2017,6979
87,Male,5635,2017,5725
88,Male,4454,2017,4831
89,Male,3731,2017,3757
90+,Male,12017,2017,12291
0,Female,26819,2018,26628
1,Female,27567,2018,25868
2,Female,27788,2018,26798
3,Female,28504,2018,27560
4,Female,29033,2018,27784
5,Female,30162,2018,28500
6,Female,28855,2018,29029
7,Female,29683,2018,30159
8,Female,29598,2018,28853
9,Female,28272,2018,29681
10,Female,27796,2018,29596
11,Female,27257,2018,28270
12,Female,26739,2018,27793
13,Female,26167,2018,27253
14,Female,26038,2018,26734
15,Female,27243,2018,26161
16,Female,27563,2018,26031
17,Female,28702,2018,27234
18,Female,29789,2018,27553
19,Female,32749,2018,28690
20,Female,33871,2018,29776
21,Female,34923,2018,32734
22,Female,36314,2018,33855
23,Female,37631,2018,34906
24,Female,39540,2018,36296
25,Female,38982,2018,37611
26,Female,37498,2018,39517
27,Female,37318,2018,38957
28,Female,37556,2018,37471
29,Female,36621,2018,37288
30,Female,36099,2018,37522
31,Female,36312,2018,36584
32,Female,35089,2018,36058
33,Female,35723,2018,36267
34,Female,36385,2018,35042
35,Female,35753,2018,35671
36,Female,34995,2018,36328
37,Female,33471,2018,35693
38,Female,31663,2018,34931
39,Female,30603,2018,33406
40,Female,32622,2018,31596
41,Female,33160,2018,30534
42,Female,33272,2018,32542
43,Female,35532,2018,33072
44,Female,38123,2018,33176
45,Female,39905,2018,35421
46,Female,39222,2018,37994
47,Female,40801,2018,39759
48,Female,41543,2018,39064
49,Female,41358,2018,40620
50,Female,41391,2018,41341
51,Female,42646,2018,41139
52,Female,42441,2018,41152
53,Female,42060,2018,42381
54,Female,40724,2018,42156
55,Female,39939,2018,41753
56,Female,38427,2018,40400
57,Female,38397,2018,39592
58,Female,37263,2018,38064
59,Female,36058,2018,38006
60,Female,34941,2018,36855
61,Female,33606,2018,35631
62,Female,33002,2018,34491
63,Female,32395,2018,33135
64,Female,31202,2018,32498
65,Female,31507,2018,31852
66,Female,31414,2018,30627
67,Female,32127,2018,30863
68,Female,33103,2018,30702
69,Female,35906,2018,31317
70,Female,26974,2018,32176
71,Female,25687,2018,34788
72,Female,25970,2018,26040
73,Female,25265,2018,24702
74,Female,23254,2018,24868
75,Female,21636,2018,24078
76,Female,21833,2018,22042
77,Female,21118,2018,20383
78,Female,20348,2018,20423
79,Female,19396,2018,19598
80,Female,18453,2018,18715
81,Female,17214,2018,17656
82,Female,15965,2018,16599
83,Female,14544,2018,15272
84,Female,14041,2018,13939
85,Female,12678,2018,12465
86,Female,11277,2018,11781
87,Female,9897,2018,10382
88,Female,8421,2018,8989
89,Female,7418,2018,7659
90+,Female,29050,2018,29307
0,Male,28697,2018,27951
1,Male,29017,2018,27150
2,Male,29377,2018,28670
3,Male,29728,2018,29007
4,Male,30708,2018,29371
5,Male,31533,2018,29722
6,Male,29946,2018,30702
7,Male,30653,2018,31527
8,Male,30586,2018,29941
9,Male,29574,2018,30648
10,Male,28838,2018,30582
11,Male,28885,2018,29570
12,Male,28344,2018,28834
13,Male,27231,2018,28879
14,Male,27083,2018,28337
15,Male,28196,2018,27223
16,Male,29300,2018,27072
17,Male,30279,2018,28182
18,Male,31162,2018,29281
19,Male,33677,2018,30255
20,Male,34653,2018,31133
21,Male,35175,2018,33641
22,Male,36261,2018,34614
23,Male,36791,2018,35134
24,Male,38808,2018,36218
25,Male,39073,2018,36746
26,Male,37445,2018,38759
27,Male,37102,2018,39020
28,Male,36957,2018,37390
29,Male,35572,2018,37041
30,Male,35467,2018,36889
31,Male,34774,2018,35499
32,Male,33786,2018,35387
33,Male,34032,2018,34689
34,Male,34246,2018,33697
35,Male,34347,2018,33935
36,Male,33701,2018,34140
37,Male,32926,2018,34233
38,Male,30125,2018,33579
39,Male,30169,2018,32798
40,Male,31504,2018,29999
41,Male,31398,2018,30033
42,Male,32214,2018,31353
43,Male,34054,2018,31238
44,Male,35759,2018,32041
45,Male,36884,2018,33861
46,Male,36481,2018,35546
47,Male,37985,2018,36653
48,Male,38668,2018,36240
49,Male,39404,2018,37720
50,Male,38795,2018,38384
51,Male,40421,2018,39097
52,Male,39547,2018,38472
53,Male,39588,2018,40059
54,Male,39078,2018,39163
55,Male,38031,2018,39169
56,Male,36862,2018,38624
57,Male,36217,2018,37545
58,Male,35210,2018,36347
59,Male,34417,2018,35666
60,Male,33311,2018,34626
61,Male,31726,2018,33795
62,Male,31363,2018,32657
63,Male,30581,2018,31050
64,Male,29425,2018,30636
65,Male,29569,2018,29805
66,Male,29668,2018,28606
67,Male,30193,2018,28663
68,Male,30916,2018,28664
69,Male,33121,2018,29062
70,Male,24797,2018,29634
71,Male,22863,2018,31600
72,Male,23308,2018,23536
73,Male,21528,2018,21580
74,Male,19373,2018,21870
75,Male,17496,2018,20073
76,Male,17603,2018,17941
77,Male,16869,2018,16081
78,Male,16115,2018,16041
79,Male,14432,2018,15222
80,Male,13546,2018,14384
81,Male,12469,2018,12724
82,Male,11120,2018,11774
83,Male,9975,2018,10656
84,Male,9091,2018,9315
85,Male,7894,2018,8162
86,Male,6573,2018,7247
87,Male,5635,2018,6116
88,Male,4454,2018,4941
89,Male,3731,2018,4105
90+,Male,12017,2018,12631
0,Female,26819,2019,26616
1,Female,27567,2019,26613
2,Female,27788,2019,25863
3,Female,28504,2019,26796
4,Female,29033,2019,27558
5,Female,30162,2019,27782
6,Female,28855,2019,28499
7,Female,29683,2019,29028
8,Female,29598,2019,30158
9,Female,28272,2019,28852
10,Female,27796,2019,29680
11,Female,27257,2019,29595
12,Female,26739,2019,28268
13,Female,26167,2019,27791
14,Female,26038,2019,27250
15,Female,27243,2019,26731
16,Female,27563,2019,26157
17,Female,28702,2019,26027
18,Female,29789,2019,27229
19,Female,32749,2019,27547
20,Female,33871,2019,28684
21,Female,34923,2019,29769
22,Female,36314,2019,32726
23,Female,37631,2019,33847
24,Female,39540,2019,34897
25,Female,38982,2019,36286
26,Female,37498,2019,37600
27,Female,37318,2019,39504
28,Female,37556,2019,38943
29,Female,36621,2019,37455
30,Female,36099,2019,37270
31,Female,36312,2019,37502
32,Female,35089,2019,36563
33,Female,35723,2019,36035
34,Female,36385,2019,36242
35,Female,35753,2019,35016
36,Female,34995,2019,35642
37,Female,33471,2019,36297
38,Female,31663,2019,35660
39,Female,30603,2019,34896
40,Female,32622,2019,33370
41,Female,33160,2019,31560
42,Female,33272,2019,30496
43,Female,35532,2019,32498
44,Female,38123,2019,33024
45,Female,39905,2019,33124
46,Female,39222,2019,35360
47,Female,40801,2019,37923
48,Female,41543,2019,39678
49,Female,41358,2019,38976
50,Female,41391,2019,40519
51,Female,42646,2019,41230
52,Female,42441,2019,41019
53,Female,42060,2019,41023
54,Female,40724,2019,42238
55,Female,39939,2019,42001
56,Female,38427,2019,41585
57,Female,38397,2019,40223
58,Female,37263,2019,39404
59,Female,36058,2019,37870
60,Female,34941,2019,37797
61,Female,33606,2019,36636
62,Female,33002,2019,35401
63,Female,32395,2019,34248
64,Female,31202,2019,32880
65,Female,31507,2019,32223
66,Female,31414,2019,31555
67,Female,32127,2019,30309
68,Female,33103,2019,30505
69,Female,35906,2019,30307
70,Female,26974,2019,30868
71,Female,25687,2019,31662
72,Female,25970,2019,34169
73,Female,25265,2019,25526
74,Female,23254,2019,24161
75,Female,21636,2019,24264
76,Female,21833,2019,23428
77,Female,21118,2019,21378
78,Female,20348,2019,19697
79,Female,19396,2019,19656
80,Female,18453,2019,18774
81,Female,17214,2019,17832
82,Female,15965,2019,16720
83,Female,14544,2019,15606
84,Female,14041,2019,14239
85,Female,12678,2019,12871
86,Female,11277,2019,11380
87,Female,9897,2019,10619
88,Female,8421,2019,9227
89,Female,7418,2019,7866
90+,Female,29050,2019,29708
0,Male,28697,2019,27938
1,Male,29017,2019,27933
2,Male,29377,2019,27144
3,Male,29728,2019,28667
4,Male,30708,2019,29004
5,Male,31533,2019,29368
6,Male,29946,2019,29720
7,Male,30653,2019,30700
8,Male,30586,2019,31525
9,Male,29574,2019,29939
10,Male,28838,2019,30646
11,Male,28885,2019,30580
12,Male,28344,2019,29568
13,Male,27231,2019,28831
14,Male,27083,2019,28875
15,Male,28196,2019,28333
16,Male,29300,2019,27217
17,Male,30279,2019,27065
18,Male,31162,2019,28173
19,Male,33677,2019,29269
20,Male,34653,2019,30241
21,Male,35175,2019,31117
22,Male,36261,2019,33623
23,Male,36791,2019,34595
24,Male,38808,2019,35114
25,Male,39073,2019,36197
26,Male,37445,2019,36724
27,Male,37102,2019,38733
28,Male,36957,2019,38992
29,Male,35572,2019,37359
30,Male,35467,2019,37007
